Name,Score,Genres,Type,Episodes,Producers,Studios,Source,Duration,Ranked,Popularity,Members,Favorites,Watching,Completed,On-Hold,Dropped,Plan to Watch
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,11.525519183386132,"Fuji TV, TAP, Shueisha",Toei Animation,Manga,24 min.,95.0,31.0,1352724,126645,887333,33,187919,136245,141194
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178.0,"Production I.G, Nihon Ad Systems",Trans Arts,Manga,22 min. per ep.,675.0,1039.0,141832,3124,11235,76881,12905,12516,28295
Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,12.0,"Production I.G, Nihon Ad Systems",Toei Animation,Manga,25 min. per ep.,6493.0,7333.0,3648,16,170,1333,145,296,1704
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26.0,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,23 min. per ep.,625.0,514.0,275464,5137,12277,157789,12856,13491,79051
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24.0,"GDH, Pony Canyon, CBC",Gonzo,Manga,24 min. per ep.,1844.0,1284.0,111734,790,6273,53819,6255,7951,37436
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22.0,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,Original,23 min. per ep.,896.0,823.0,182599,3671,11335,47532,9815,8112,105805
Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,24.0,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Gonzo,Light novel,24 min. per ep.,2240.0,936.0,158343,1479,7794,87958,8940,9349,44302
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69.0,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,24 min. per ep.,609.0,1666.0,80183,887,5007,39992,5764,4633,24787
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26.0,"Marvelous, TBS",Studio Deen,Manga,24 min. per ep.,1565.0,3985.0,16652,152,857,6807,721,599,7668
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26.0,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,24 min. per ep.,208.0,54.0,1160651,71308,66549,815938,35566,20358,222240
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1.0,"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 44 min.,1742.0,833.0,180681,588,1941,146202,1069,961,30508
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1.0,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 27 min.,102.0,195.0,572080,17811,8055,482918,2462,1499,77146
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25.0,"VAP, Hakusensha, Nippon Television Network",OLM,Manga,25 min. per ep.,108.0,301.0,432190,18567,19540,276588,12737,9406,113919
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1.0,"Bandai Visual, Kodansha",Production I.G,Manga,1 hr. 22 min.,236.0,265.0,468279,10362,8152,325682,3404,1927,129114
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4.0,Aniplex,Studio Deen,Manga,30 min. per ep.,37.0,637.0,228484,6111,6359,150183,3124,1836,66982
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94.0,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,25 min. per ep.,220.0,345.0,386195,11236,29540,216154,30655,18588,91258
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1.0,"Fuji TV, Sony Music Entertainment",Gallop,Manga,1 hr. 31 min.,1397.0,2411.0,44334,107,547,34481,438,228,8640
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1.0,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,333.0,197.0,566538,9555,8258,434086,3491,2174,118529
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26.0,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24 min. per ep.,3687.0,940.0,158227,1359,6733,91528,8315,11881,39770
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5.0,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,30 min. per ep.,2226.0,2360.0,46428,267,993,34581,860,894,9100
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24.0,"Bandai Visual, TBS, Imagine",AIC,Manga,24 min. per ep.,2116.0,1083.0,135747,1124,5841,85884,6517,7971,29534
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3.0,"Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,Manga,30 min. per ep.,6823.0,2419.0,43960,215,812,32981,749,1311,8107
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26.0,TV Tokyo Music,Bones,Manga,24 min. per ep.,2529.0,2232.0,51022,290,1653,32978,2615,2852,10924
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24.0,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,23 min. per ep.,3012.0,1465.0,94793,458,4111,60075,4160,5814,20633
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1.0,"Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,Manga,1 hr. 45 min.,3206.0,1901.0,65139,173,787,52100,403,489,11360
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26.0,"Sony Pictures Entertainment, Aniplex",Bee Train,Game,22 min. per ep.,5738.0,4259.0,14187,17,581,7032,718,910,4946
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13.0,Production I.G,"Bee Train, Xebec",Original,24 min. per ep.,8501.0,4073.0,15779,21,617,7906,712,1255,5289
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26.0,"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,25 min. per ep.,221.0,570.0,255668,7038,10580,133432,10190,8488,92978
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26.0,"Youmex, Toshiba EMI",AIC,Original,23 min. per ep.,3455.0,1886.0,65360,389,2738,31583,2534,3195,25310
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26.0,"TBS, Pioneer LDC",Madhouse,Manga,24 min. per ep.,1804.0,332.0,402646,3859,15294,272425,18082,22409,74436
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24.0,"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23 min. per ep.,1120.0,742.0,198007,2064,8228,117484,9881,9842,52572
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26.0,Kadokawa Shoten,Xebec,Manga,23 min. per ep.,2761.0,891.0,167615,1523,5183,117045,7599,11057,26731
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26.0,"Lantis, King Records","feel., Zexcs",Visual novel,24 min. per ep.,4589.0,1852.0,67491,189,3024,36037,2840,3852,21738
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12.0,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,Manga,23 min. per ep.,5274.0,1146.0,128788,391,3766,95113,3066,5507,21336
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12.0,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,Manga,24 min. per ep.,1782.0,846.0,176775,2074,5599,113914,6040,7852,43370
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12.0,"Mellow Head, TBS",Nomad,Manga,24 min. per ep.,1146.0,1479.0,93768,516,2006,73523,2114,1647,14478
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26.0,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,4-koma manga,24 min. per ep.,555.0,554.0,262980,5181,13747,143431,16133,13115,76554
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24.0,"GDH, Kodansha, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,1325.0,940.0,156661,1467,6964,82153,6380,6957,54207
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23.0,"GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,1965.0,622.0,231668,1955,10510,142921,11736,11003,55498
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25.0,"Bandai Visual, Imagine",Sunrise,Original,24 min. per ep.,6646.0,5061.0,9299,13,500,3068,629,942,4160
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24.0,Kadokawa Shoten,Gonzo,Light novel,24 min. per ep.,1146.0,322.0,411230,4417,17458,264665,16076,13806,99225
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12.0,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,Light novel,24 min. per ep.,452.0,571.0,254465,2988,5383,204041,4435,3533,37073
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13.0,"Kadokawa Shoten, Happinet Pictures",Kyoto Animation,Light novel,24 min. per ep.,579.0,639.0,227927,1358,4667,177524,3840,2271,39625
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26.0,"Aniplex, Sogo Vision",Group TAC,Manga,25 min. per ep.,1158.0,1640.0,81446,1613,2495,57369,2843,2916,15823
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25.0,"TV Tokyo Music, King Records",Xebec,Original,24 min. per ep.,2348.0,2523.0,40602,255,2179,16417,1849,1987,18170
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13.0,"Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,1828.0,1550.0,88890,1036,3287,47731,2865,2625,32382
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13.0,"Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,551.0,2075.0,56981,1014,1367,40165,1088,828,13533
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24.0,"Xebec, Lantis, Memory-Tech",Asread,Visual novel,23 min. per ep.,3231.0,600.0,240751,1572,10943,151944,9558,13227,55079
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43.0,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,25 min. per ep.,867.0,1427.0,97216,1787,7737,52669,5473,3100,28237
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12.0,Atelier Musa,Sunrise,Original,25 min. per ep.,511.0,1948.0,62655,911,2405,43537,1437,794,14482
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6.0,Bandai Visual,Sunrise,Original,27 min. per ep.,677.0,2444.0,43308,717,978,30112,595,392,11231
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1.0,"Sotsu, Atelier Musa",Sunrise,Original,52 min.,4498.0,4660.0,11460,3,149,8314,130,136,2731
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13.0,Bandai Visual,Sunrise,Original,30 min. per ep.,2361.0,2791.0,33687,230,977,24492,715,448,7055
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50.0,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,655.0,2159.0,53822,1721,3912,32798,2628,1049,13435
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47.0,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,5111.0,2941.0,30758,130,1647,18408,1354,917,8432
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1.0,"Sotsu, Nozomi Entertainment, Atelier Musa","Sunrise, Studio Hibari",Novel,1 hr. 59 min.,1084.0,2773.0,34221,293,437,25957,233,171,7423
Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1.0,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,Original,2 hr.,5049.0,3387.0,23161,63,357,16731,207,193,5673
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51.0,"TV Asahi, Sotsu, Apollon","Sunrise, Studio Deen",Original,24 min. per ep.,4632.0,3588.0,20794,95,1225,10068,1094,628,7779
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49.0,TV Asahi,Sunrise,Original,24 min. per ep.,984.0,1118.0,132208,2538,5922,95155,5945,4411,20775
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3.0,"Bandai Visual, Sotsu",Sunrise,Original,30 min. per ep.,897.0,2512.0,41030,221,500,34369,280,250,5631
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39.0,"TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,2228.0,3043.0,28862,189,1554,15987,1746,983,8592
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50.0,"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,Original,24 min. per ep.,850.0,1057.0,140346,3584,4898,101920,4589,5021,23918
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50.0,"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,24 min. per ep.,2687.0,1530.0,90208,1206,2210,70845,2251,2749,12153
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50.0,"Sotsu, Fuji TV","Sunrise, Nakamura Production",Original,24 min. per ep.,1018.0,2714.0,35670,760,2378,14651,2327,1448,14866
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49.0,"TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,1396.0,2109.0,55463,896,2499,38653,2505,1607,10199
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26.0,"GDH, Victor Entertainment, TV Tokyo Music",Gonzo,Original,24 min. per ep.,795.0,995.0,149528,1848,5943,77235,6541,5038,54771
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26.0,"Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,Original,23 min. per ep.,1698.0,1381.0,101495,1262,3442,60321,3690,4215,29827
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26.0,"Bandai Visual, Lantis, TV Tokyo Music",Sunrise,Original,24 min. per ep.,2308.0,2370.0,46018,333,1147,31335,1222,1598,10716
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13.0,"Kadokawa Shoten, Rondo Robe",Hal Film Maker,Manga,23 min. per ep.,2785.0,2162.0,53508,457,1607,33827,1504,1760,14810
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12.0,"Pony Canyon, TBS, Movic",Kyoto Animation,Visual novel,24 min. per ep.,2230.0,563.0,259381,2704,7367,170036,8109,9992,63877
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26.0,"Animax, Toei Video, Sunny Side Up",TMS Entertainment,Manga,25 min. per ep.,1634.0,1529.0,89533,571,3772,59770,4008,4946,17037
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74.0,"Nihon Ad Systems, Shueisha",Gallop,Manga,24 min. per ep.,1941.0,4551.0,12006,88,691,5140,993,994,4188
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24.0,Bandai Visual,Studio Pierrot,Manga,21 min. per ep.,2641.0,2182.0,53189,535,2099,31162,2479,3400,14049
Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,13.0,Bandai Visual,Hal Film Maker,Manga,23 min. per ep.,6088.0,3665.0,20032,41,768,10371,809,1385,6699
Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,51.0,Bandai Visual,Toei Animation,Manga,25 min. per ep.,1027.0,2293.0,48623,762,2502,25257,2178,2974,15712
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13.0,Aniplex,Studio Deen,Manga,24 min. per ep.,2625.0,2817.0,32988,210,1343,16532,1452,1714,11947
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3.0,Aniplex,Studio Deen,Manga,30 min. per ep.,2367.0,4619.0,11591,29,283,7309,208,159,3632
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24.0,"GDH, TV Asahi, Imagica",Gonzo,Original,23 min. per ep.,4381.0,1965.0,62106,257,2789,34321,3539,4492,16965
Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,52.0,"GDH, TV Asahi, Imagica",Nippon Animation,Manga,23 min. per ep.,1195.0,4086.0,15608,107,990,8203,837,817,4761
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52.0,"NHK, Studio Tron",Nippon Animation,Original,25 min. per ep.,4318.0,4519.0,12222,50,463,6825,661,963,3310
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8.0,m.o.e.,"Imagin, Studio Live",Original,14 min. per ep.,10648.0,5542.0,7392,5,269,3567,243,568,2745
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26.0,"Starchild Records, TV Tokyo Music",Xebec,Original,23 min. per ep.,1980.0,3577.0,20924,127,820,10722,957,960,7465
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26.0,TV Tokyo Music,Production I.G,Manga,12 min. per ep.,631.0,1279.0,112001,1561,8242,49634,7970,5164,40991
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13.0,Pioneer LDC,AIC,Original,25 min. per ep.,4315.0,4961.0,9684,10,275,6251,307,352,2499
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26.0,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,Original,23 min. per ep.,3735.0,4198.0,14603,35,613,8190,628,667,4505
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7.0,Pioneer LDC,AIC,Original,34 min. per ep.,2240.0,4129.0,15406,91,521,9059,408,352,5066
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4.0,Pioneer LDC,AIC,Original,30 min. per ep.,4239.0,5421.0,7745,5,163,5472,166,120,1824
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13.0,Trinet Entertainment,Zexcs,Visual novel,14 min. per ep.,5567.0,2887.0,31774,48,958,21798,756,1088,7174
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26.0,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,Manga,24 min. per ep.,1058.0,314.0,420919,9504,15410,297921,12910,16709,77969
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51.0,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,Manga,24 min. per ep.,337.0,52.0,1151621,26564,52738,880215,41631,38693,138344
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52.0,Nihon Ad Systems,Studio Deen,Manga,24 min. per ep.,585.0,1519.0,90884,1823,3807,51760,4784,5484,25049
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52.0,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Studio Pierrot,Manga,23 min. per ep.,1172.0,1434.0,96861,2277,5124,53674,5497,5964,26602
Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,4.0,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Studio Pierrot,Manga,30 min. per ep.,4189.0,4101.0,15576,69,257,11630,225,218,3246
Futakoi,6.49,"Comedy, Romance, School",TV,13.0,Lantis,Telecom Animation Film,Original,24 min. per ep.,5946.0,2900.0,31358,22,1052,19836,962,1485,8023
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13.0,Lantis,"ufotable, feel., Studio Flag",Original,24 min. per ep.,3968.0,3071.0,28297,71,1073,13965,1144,1565,10550
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24.0,Media Factory,Gonzo,Game,25 min. per ep.,3767.0,3717.0,19351,59,726,11013,941,1182,5489
Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,6.0,Media Factory,Gonzo,Game,30 min. per ep.,4489.0,5026.0,9399,23,216,5904,271,273,2735
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50.0,"TV Tokyo, Dentsu, Group TAC",Studio Pierrot,Manga,23 min. per ep.,1315.0,2359.0,46228,833,2628,22100,3188,3069,15243
Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,25.0,"TV Tokyo, Dentsu, Group TAC",Studio Pierrot,Manga,23 min. per ep.,1858.0,3071.0,28277,116,1224,15616,1186,1189,9062
Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,26.0,"TV Tokyo, Dentsu, Group TAC",Studio Pierrot,Manga,24 min. per ep.,1840.0,3724.0,19393,51,728,10446,702,519,6998
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49.0,"TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,Manga,24 min. per ep.,1249.0,1339.0,105139,911,5642,55921,8039,7436,28101
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12.0,"Pony Canyon, Memory-Tech, Studio Jack",Studio Matrix,Visual novel,24 min. per ep.,7303.0,1333.0,106208,263,2671,79017,2144,5446,16930
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13.0,"Marvelous, Fuji TV",Madhouse,Manga,24 min. per ep.,1821.0,920.0,161010,1140,6742,82948,7728,8160,55432
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75.0,"TV Tokyo, Dentsu, Dream Force",Studio Pierrot,Manga,23 min. per ep.,400.0,1287.0,111164,2186,5480,62705,6454,6700,29825
